DA_DGUID,DA_ID,Municipality,CSD_DGUID,Census_Year,Characteristic_ID,Characteristic_Name,Value,Flag,Topic_ID,Release_Date,Data_Quality_Flag,TNR_SF_Pct,TNR_LF_Pct
2021S051235430655,35430655,Barrie,2021A00053543042,2021,7,Land area in square kilometres,0.12,,1,2022-02-09,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,14,Population aged 15 to 19,30,,2,2022-04-27,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,15,Population aged 20 to 24,45,,2,2022-04-27,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,16,Population aged 25 to 29,50,,2,2022-04-27,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,17,Population aged 30 to 34,55,,2,2022-04-27,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,41,"Occupied private dwellings by structural type, total",240,,4,2022-04-27,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,45,Apartment or flat in a duplex,5,,4,2022-04-27,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,46,Apartment in a building with fewer than five storeys,0,,4,2022-04-27,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,47,Apartment in a building with five or more storeys,0,,4,2022-04-27,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,228,"Private households income statistics, total",240,,7,2022-07-13,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,229,Median total household income in 2020,83000,,7,2022-07-13,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,237,"Private households income statistics, sample total",235,,7,2022-07-13,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,238,Average total household income in 2020,78000,,7,2022-07-13,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,1400,"Private households by tenure, total",235,,10,2022-09-21,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,1402,Renter households,60,,10,2022-09-21,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,2223,Population aged 15+ by labour force status,495,,15,2022-11-30,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,2224,Population in the labour force,350,,15,2022-11-30,00000,3.3,8.3
